物品ID,物品名称,显示名称,品质,分类,标签,描述,口径,最大堆叠,默认堆叠,单价,可堆叠,可使用,重量,耐久度
0,Character,躯壳,999,Character,Character;DestroyOnLootBox,灵魂的载体。,,1,1,0,否,否,0.00,0
1,0_MeleeWeapon_Template,切肉刀,9,Weapon,Weapon;MeleeWeapon;DontDropOnDeadInSlot,看起来很粗犷的刀，不是很锋利。,,1,1,17501,否,否,3.00,0
2,ArmorLV3,三级防弹衣,3,Armor,Armor;Equipment;Western;Repairable,三级防弹衣，在某些时候能够保住你的小命。,,1,1,1775,否,否,3.57,80
3,Gem,金色五角星,4,Gem,Gem;Luxury,神秘物质构成的金色五角星。增加近战武器攻击力。,,1,1,4587,否,否,0.19,0
4,1_Rifle-A_template,GunTemplate,9,Weapon,Weapon;Gun,?,AR_L,1,1,37500,否,否,3.00,100
8,BatteryR6,R6电池,1,Electric,Electric;Bait,在各种用电器中被广泛使用的电池。,,20,1,194,是,否,0.08,0
10,Bandage,止血绷带,1,Medic,Medic;Healing,"可以止血,并回复微少生命值。",,3,3,80,是,否,0.05,0
11,BatteryPP3,PP3电池,2,Electric,Electric,通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。,,10,1,323,是,否,0.12,0
12,BeanCan,焗豆罐头,2,Food,Food,焗豆罐头。,,3,1,102,是,否,0.39,0
13,Biscuit,苏打饼干,1,Food,Food,一摞苏打饼干。,,3,1,51,是,否,0.05,0
14,Cola,可乐,4,Food,Food;Drink,有糖的可乐才有灵魂。,,1,1,1995,否,是,0.36,0
15,FirstAidKit_L,大急救箱,4,Medic,Medic;Healing,可以恢复大量生命值。,,1,1,1322,否,否,1.20,400
16,FirstAidKit_M,急救箱,3,Medic,Medic;Healing,可以恢复生命值。,,1,1,807,否,否,0.75,175
17,FirstAidKit_S,小急救箱,2,Medic,Medic;Healing,可以恢复少量生命值。,,1,1,206,否,否,0.50,125
18,TunaCan_1,水浸金枪鱼罐头,2,Food,Food,水浸金枪鱼罐头。,,3,1,172,是,否,0.36,0
19,TunaCan_2,油浸金枪鱼罐头,3,Food,Food,油浸金枪鱼罐头。,,3,1,376,是,否,0.36,0
20,Aspirin,阿司匹林,1,Medic,Medic;Healing,小剂量药品，回复血量，并提供镇痛效果。,,3,3,32,是,是,0.03,0
21,Bleach,漂白剂,1,Daily,Daily,一壶漂白剂。,,1,1,139,否,否,0.60,0
22,Cigarette,红条香烟,2,Food,Food,一盒普通的香烟。,,3,1,105,是,否,0.03,0
23,Dynamite,管状炸弹,1,Explosive,Explosive,一颗管状炸弹。,,1,1,140,否,否,0.34,0
24,DynamiteMultiple,集束管状炸弹,5,Explosive,Explosive,一束管状炸弹。,,1,1,302,否,否,1.22,0
25,Flashlight,手电,3,Tool,Tool,一只手电筒。,,1,1,560,否,否,0.31,0
26,GasMask_01,防毒面具,3,FaceMask,FaceMask;Equipment;DecorateEquipment;Repairable,普通的防毒面具。,,1,1,535,否,否,0.15,30
27,Goggle,滑雪镜,1,FaceMask,FaceMask;Equipment;DecorateEquipment;Repairable,滑雪眼镜。,,1,1,125,否,否,0.18,30
28,Nail,钉子,1,Tool,Tool,钉子。,,50,1,149,是,否,0.05,0
29,Vodka,伏特加,3,Food,Food;Drink,"喝了会开心,然后脱水。",,1,1,902,否,是,0.68,0
30,WD40,MD40,3,Tool,Tool,一瓶MD40除锈剂。,,1,1,216,否,否,0.29,0
31,Wrench,扳手,2,Tool,Tool;MeleeWeapon;DontDropOnDeadInSlot,一个扳手。,,1,1,257,否,否,0.41,0
32,ArmorLV1,一级防弹衣,1,Armor,Armor;Equipment;Repairable,比纸还薄，能挡一发水弹枪。,,1,1,285,否,否,2.00,45
33,ArmorLV2,二级防弹衣,2,Armor,Armor;Equipment;Western;Repairable,看起来很专业，能够提供心理层面的鼓励。,,1,1,784,否,否,2.47,60
34,ArmorLV4,四级防弹衣,4,Armor,Armor;Equipment;Western;Repairable,有真正的防弹性能，可靠之选。,,1,1,3316,否,否,4.29,100
35,ArmorLV5,五级防弹衣,5,Armor,Armor;Equipment;Western;Repairable,提供终极的防护，子弹打在身上就像洒洒水。,,1,1,5827,否,否,5.88,120
36,BackpackLV1,装饰包,1,Backpack,Backpack;Equipment;Repairable,也就能装点口红化妆品啥的。,,1,1,87,否,否,0.45,0
37,BackpackLV2,小学背包,2,Backpack,Backpack;Equipment;Western;Repairable,能装很多的作业本。,,1,1,338,否,否,1.08,0
38,BackpackLV3,旅行包,3,Backpack,Backpack;Equipment;Repairable,多功能用途背包，旅行首选。,,1,1,995,否,否,2.21,0
39,BackpackLV4,生存者背包,4,Backpack,Backpack;Equipment;Repairable,杀哥联名，户外生存必备。,,1,1,2385,否,否,2.64,0
40,BackpackLV5,行军背包MAX,5,Backpack,Backpack;Equipment;Western;Repairable,使用蓝胖子口袋内衬同款材料，非常能装。,,1,1,4706,否,否,3.87,0
41,HelmatLV1,摩托头盔,1,Helmat,Helmat;Equipment;Repairable,晶莹剔透，吹弹可破。,,1,1,97,否,否,0.45,35
42,HelmatLV2,老钢盔,2,Helmat,Helmat;Equipment;Repairable,没怎么保养的头盔，爷爷传下来的。里面有个洞。,,1,1,378,否,否,0.90,45
43,HelmatLV3,特警头盔,3,Helmat,Helmat;Equipment;Western;Repairable,具有初级的防弹性能。,,1,1,1183,否,否,1.20,55
44,HelmatLV4,SightPRO头盔,4,Helmat,Helmat;Equipment;Western;Repairable,具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。,,1,1,2551,否,否,1.44,65
45,HelmatLV5,SCIFI面罩,5,Helmat,Helmat;Equipment;Western;Repairable,给予头部全方位的防护，科幻造型，非常的拉风。,,1,1,4855,否,否,2.40,75
46,HelmatLV6,神之电焊头,6,Helmat,Helmat;Equipment;Western;Repairable,古希腊掌管头盔的神打造，子弹看了会吓软。,,1,1,8778,否,否,3.60,85
47,Wrench02,汽车扳手,4,Tool,Tool;MeleeWeapon;DontDropOnDeadInSlot,更好用的扳手。,,1,1,1062,否,否,1.47,0
48,ContinerL,大扩容箱,5,Continer,Continer,大型扩容箱，可用作扩展藏身处。重到拿不动。,,1,1,8578,否,否,40.36,0
49,ContinerM,中扩容箱,4,Continer,Continer,中型扩容箱，可用作扩展藏身处。很重。,,1,1,4713,否,否,25.94,0
50,ContinerS,小扩容箱,3,Continer,Continer,小型扩容箱，可用作扩展藏身处。,,1,1,2484,否,否,15.62,0
51,Clock,闹钟,2,Daily,Daily,定格在了三点钟。,,1,1,667,否,否,0.29,0
52,Detergent,洁厕灵,1,Daily,Daily;Bait,一瓶洁厕灵。,,1,1,102,否,否,0.53,0
53,Drum1,红色大桶,3,Daily,Daily,一个大空桶。,,1,1,1277,否,否,2.46,0
54,Drum2,蓝色大桶,3,Daily,Daily,一个大空桶。,,1,1,1276,否,否,2.39,0
55,Drum3,黄色大桶,3,Daily,Daily,一个大空桶。,,1,1,1238,否,否,2.60,0
56,Drum4,金属油桶,4,Daily,Daily,一个大空桶，装过汽油。,,1,1,3578,否,否,4.79,0
57,GolfClub,高尔夫球棒,4,Daily,Daily;MeleeWeapon;DontDropOnDeadInSlot,打人疼。,,1,1,2270,否,否,1.42,0
58,Ink,墨水,2,Daily,Daily,钢笔墨水。,,1,1,269,否,否,0.28,0
59,Pot,锅,2,Daily,Daily;Helmat;Equipment;Repairable,可以用来煮食物。,,1,1,465,否,否,1.12,22
60,Tissue,卷纸,1,Daily,Daily,一卷卫生纸。,,1,1,55,否,否,0.07,0
61,Zippo,Cippo,1,Daily,Daily;Bait,Cippo打火机。,,1,1,242,否,否,0.21,0
62,PressionSencer,压力传感器,4,Electric,Electric,踩上去就能感应到。,,1,1,541,否,否,0.72,0
63,uPhone,uPhone手机,4,Electric,Electric,已经坏掉了，从外观上看不出是第几代产品。,,1,1,1867,否,否,0.25,0
64,Walkie_Talkie,对讲机,3,Electric,Electric,普通的对讲机。,,1,1,377,否,否,0.47,0
65,Walkie_Talkie02,军用对讲机,4,Electric,Electric,经过加密的军用对讲机。,,1,1,2312,否,否,0.68,0
66,FlashGrenade,闪光手雷,2,Explosive,Explosive,眩晕敌人。,,1,1,205,否,否,0.51,0
67,Grenade,手雷,2,Explosive,Explosive,手雷。,,1,1,300,否,否,0.44,0
68,Chocalate,巧克力,3,Food,Food,有人说它能减肥。,,3,1,433,是,否,0.10,0
69,EnergyStick,能量棒,3,Food,Food,吃了就不饿了，但是会渴。,,3,1,371,是,否,0.10,0
